Resolution,Left-Top,Right-Bottom,Active,Disconnected,Primary,Colors,Frequency,Orientation,Maximum Resolution,Name,Adapter,Device ID,Device Key,Monitor ID,Short Monitor ID,Monitor Key,Monitor String,Monitor Name,Monitor Serial Number
0 X 0,"0, 0","0, 0",No,No,No,0,0,Default,1920 X 1080,\\.\DISPLAY2,NVIDIA GeForce RTX 3080,PCI\VEN_10DE&DEV_2216&SUBSYS_88221043&REV_A1,\Registry\Machine\System\CurrentControlSet\Control\Video\{C69DF06A-045B-11EE-A404-AC50DE58C0F8}\0001,MONITOR\DELA1B7\{4d36e96e-e325-11ce-bfc1-08002be10318}\0000,DELA1B7,\Registry\Machine\System\CurrentControlSet\Control\Class\{4d36e96e-e325-11ce-bfc1-08002be10318}\0000,Generic PnP Monitor,DELL U2422H,23H42K3
3440 X 1440,"0, 0","3440, 1440",Yes,No,Yes,32,100,Default,3440 X 1440,\\.\DISPLAY1,NVIDIA GeForce RTX 3080,PCI\VEN_10DE&DEV_2216&SUBSYS_88221043&REV_A1,\Registry\Machine\System\CurrentControlSet\Control\Video\{C69DF06A-045B-11EE-A404-AC50DE58C0F8}\0000,MONITOR\SAM0E26\{4d36e96e-e325-11ce-bfc1-08002be10318}\0007,SAM0E26,\Registry\Machine\System\CurrentControlSet\Control\Class\{4d36e96e-e325-11ce-bfc1-08002be10318}\0007,Generic PnP Monitor,C34H89x,H4ZT302745
